Log file open, 08/26/14 01:24:40
LogInit:Display: Running engine for game: ProjectSky
LogInit: Version: 4.4.1-0+UE4
LogInit: API Version: 0
LogInit: Compiled (64-bit): Aug 24 2014 23:57:45
LogInit: Build Configuration: Development
LogInit: Branch Name: UE4
LogInit: Command line: 
LogInit: Base directory: /home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/
LogInit: Rocket: 0
[2014.08.25-17.24.40:941][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.08.25-17.24.40:948][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.08.25-17.24.40:992][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.08.25-17.24.40:998][  0]LogInit: Object subsystem initialized
[2014.08.25-17.24.41:000][  0]LogInit: Selected Device Profile: [Linux]
[2014.08.25-17.24.41:000][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Linux]
[2014.08.25-17.24.41:022][  0]LogInit: Initializing SDL.
[2014.08.25-17.24.49:103][  0]LogStreaming:Warning: Failed to read file '../../../Engine/Content/Editor/Slate/Icons/ActorIcons/Box_16px.png' error.
[2014.08.25-17.24.49:103][  0]LogSlate: Could not find file for Slate resource: ../../../Engine/Content/Editor/Slate/Icons/ActorIcons/Box_16px.png
[2014.08.25-17.24.49:509][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2014.08.25-17.24.50:279][  0]LogAssetRegistry: FAssetRegistry took 0.0002 seconds to start up
[2014.08.25-17.24.53:848][  0]BlueprintLog: New page: Editor Load
[2014.08.25-17.24.55:885][  0]SourceControl: Info Source control is disabled
[2014.08.25-17.24.55:885][  0]SourceControl: Info Source control is disabled
[2014.08.25-17.24.55:888][  0]SourceControl: Info Source control is disabled
[2014.08.25-17.24.55:899][  0]LogObj: 23403 objects as part of root set at end of initial load.
[2014.08.25-17.24.55:899][  0]LogUObjectAllocator: 4837824 out of 0 bytes used by permanent object pool.
[2014.08.25-17.24.56:459][  0]LogEngine: Initializing Engine...
[2014.08.25-17.24.56:981][  0]LogALAudio: ALAudio device opened : OpenAL Soft
[2014.08.25-17.24.56:983][  0]LogALAudio: AL_VENDOR      : OpenAL Community
[2014.08.25-17.24.56:983][  0]LogALAudio: AL_RENDERER    : OpenAL Soft
[2014.08.25-17.24.56:983][  0]LogALAudio: AL_VERSION     : 1.1 ALSOFT 1.14
[2014.08.25-17.24.56:983][  0]LogALAudio: AL_EXTENSIONS  : AL_EXT_ALAW AL_EXT_DOUBLE AL_EXT_EXPONENT_DISTANCE AL_EXT_FLOAT32 AL_EXT_IMA4 AL_EXT_LINEAR_DISTANCE AL_EXT_MCFORMATS AL_EXT_MULAW AL_EXT_MULAW_MCFORMATS AL_EXT_OFFSET AL_EXT_source_distance_model AL_LOKI_quadriphonic AL_SOFT_buffer_samples AL_SOFT_buffer_sub_data AL_SOFTX_deferred_updates AL_SOFT_direct_channels AL_SOFT_loop_points
[2014.08.25-17.24.56:983][  0]LogInit: FAudioDevice initialized.
[2014.08.25-17.24.57:312][  0]LogAIModule: Creating AISystem for world NewWorld
[2014.08.25-17.24.57:417][  0]LogDerivedDataCache: Saved boot cache 0.10s 66MB ../../../../ProjectSky.Unreal/ProjectSky/DerivedDataCache/Boot.ddc.
[2014.08.25-17.24.57:417][  0]LogInit: Texture streaming: Enabled
[2014.08.25-17.24.57:664][  0]LogInit: Transaction tracking system initialized
[2014.08.25-17.24.59:014][  0]LogModuleManager:Warning: STUBBED: solution file path for Linux
[2014.08.25-17.25.01:601][  0]LogTargetPlatformManager:Display: Building Assets For Linux
[2014.08.25-17.25.02:175][  0]LogTargetPlatformManager:Display: Building Assets For Linux
[2014.08.25-17.25.02:190][  0]LogModuleManager:Warning: ModuleManager: Unable to load module 'AndroidRuntimeSettings' because the file '/home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/' was not found.
[2014.08.25-17.25.02:193][  0]LogModuleManager:Warning: ModuleManager: Unable to load module 'AndroidPlatformEditor' because the file '/home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/' was not found.
[2014.08.25-17.25.02:195][  0]LogModuleManager:Warning: ModuleManager: Unable to load module 'IOSRuntimeSettings' because the file '/home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/' was not found.
[2014.08.25-17.25.02:197][  0]LogModuleManager:Warning: ModuleManager: Unable to load module 'IOSPlatformEditor' because the file '/home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/' was not found.
[2014.08.25-17.25.03:815][  0]LogConsoleResponse:Display: 
[2014.08.25-17.25.05:721][  0]SourceControl: Info Source control is disabled
[2014.08.25-17.25.05:721][  0]Cmd: MAP LOAD FILE="../../../../ProjectSky.Unreal/ProjectSky/Content/Maps/Example_Map.umap" TEMPLATE=0 SHOWPROGRESS=1
[2014.08.25-17.25.05:741][  0]LightingResults: New page: Lighting Build
[2014.08.25-17.25.05:918][  0]MapCheck: New page: Map Check
[2014.08.25-17.25.05:918][  0]LightingResults: New page: Lighting Build
[2014.08.25-17.25.05:948][  0]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0x9739660
[2014.08.25-17.25.06:350][  0]LogMaterial: Missing cached shader map for material AntiAliasedTextMaterialTranslucent, compiling.
[2014.08.25-17.25.08:170][  0]LogTexture:Display: Building textures: HQ_Lightmap1_1 (AutoDXT)
[2014.08.25-17.25.14:298][  0]LogTexture:Display: Building textures: HQ_Lightmap1_2 (AutoDXT)
[2014.08.25-17.25.14:746][  0]LogTexture:Display: Building textures: LQ_Lightmap_1_1 (DXT1)
[2014.08.25-17.25.18:296][  0]LogTexture:Display: Building textures: LQ_Lightmap_1_2 (DXT1)
[2014.08.25-17.25.18:399][  0]LogTexture:Display: Building textures: ShadowMapTexture2D_2 (BGRA8)
[2014.08.25-17.25.18:434][  0]LogTexture:Display: Building textures: ShadowMapTexture2D_3 (BGRA8)
[2014.08.25-17.25.18:508][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2014.08.25-17.25.18:509][  0]LogAIModule: Creating AISystem for world Example_Map
[2014.08.25-17.25.18:510][  0]Cmd: MAP CHECKDEP
[2014.08.25-17.25.18:511][  0]MapCheck: New page: Example_Map - 26 Aug 2014 9:25:18 am
[2014.08.25-17.25.18:588][  0]MapCheck: Info ========== Map Check: 0 Error(s), 0 Warning(s), [77.031ms] ==========
[2014.08.25-17.25.18:588][  0]LogFileHelpers: Loading map 'Example_Map' took 12.867
[2014.08.25-17.25.20:007][  0]LogCollectionManager: Loaded 0 collections in 0.000813 seconds
[2014.08.25-17.25.21:437][  0]LogCrashTracker: Crashtracker disabled due to settings.
[2014.08.25-17.25.21:786][  0]LogInit: Using libcurl 7.34.0
[2014.08.25-17.25.21:791][  0]LogInit:  - built for x86_64-unknown-linux-gnu
[2014.08.25-17.25.21:791][  0]LogInit:  - supports SSL with OpenSSL/1.0.1f
[2014.08.25-17.25.21:791][  0]LogInit:  - other features:
[2014.08.25-17.25.21:791][  0]LogInit:      CURL_VERSION_SSL
[2014.08.25-17.25.21:792][  0]LogInit:      CURL_VERSION_IPV6
[2014.08.25-17.25.21:792][  0]LogInit:      CURL_VERSION_ASYNCHDNS
[2014.08.25-17.25.21:792][  0]LogInit:      CURL_VERSION_LARGEFILE
[2014.08.25-17.25.21:792][  0]LogInit:      CURL_VERSION_TLSAUTH_SRP
[2014.08.25-17.25.21:792][  0]LogInit: Libcurl will NOT reuse connections
[2014.08.25-17.25.21:826][  0]LogLoad: Full Startup: 42.09 seconds (BP compile: 0.09 seconds)
[2014.08.25-17.25.22:501][  1]LogRenderer:Warning: Reallocating scene render targets to support 776x600.
[2014.08.25-17.25.25:615][  5]LogAssetRegistry: Asset discovery search completed in 35.3361 seconds
[2014.08.25-17.25.32:732][348]LogModuleManager:Warning: STUBBED: solution file path for Linux
[2014.08.25-17.25.39:632][634]LightingResults: New page: Lighting Build
[2014.08.25-17.25.39:633][634]MapCheck: New page: Map Check
[2014.08.25-17.25.39:633][634]LightingResults: New page: Lighting Build
[2014.08.25-17.25.39:668][634]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0x7fe018550f60
[2014.08.25-17.25.39:674][634]LogAIModule: Creating AISystem for world NewWorld
[2014.08.25-17.25.39:676][634]LoadErrors: New page: New Map
[2014.08.25-17.25.45:130][242]LogModuleManager:Warning: STUBBED: solution file path for Linux
[2014.08.25-17.25.48:205][573]LogDesktopPlatform:Warning: FileDialogShared DialogTitle: Save As, DefaultPath: ../../../../ProjectSky.Unreal/ProjectSky/Content/Maps, DefaultFile: , FileTypes: Map files (*.umap)|*.umap|All files (*.*)|*.*, Flags: 0
[2014.08.25-17.26.04:541][573]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Maps/opencvTest" FILE="../../../../ProjectSky.Unreal/ProjectSky/Content/Maps/opencvTest.umap" SILENT=true AUTOSAVING=false KEEPDIRTY=false
[2014.08.25-17.26.04:654][573]LogSavePackage: Save=57.762001ms
[2014.08.25-17.26.04:654][573]LogSavePackage: Moving '../../../../ProjectSky.Unreal/ProjectSky/Saved/opencvTest0001001A00040008001A025551149831.tmp' to '../../../../ProjectSky.Unreal/ProjectSky/Content/Maps/opencvTest.umap'
[2014.08.25-17.26.04:683][573]LogFileHelpers: Saving map 'opencvTest' took 2.451
[2014.08.25-17.27.12:647][518]LogModuleManager:Warning: STUBBED: solution file path for Linux
[2014.08.25-17.27.15:378][804]LogModuleManager:Warning: STUBBED: solution file path for Linux
[2014.08.25-17.27.33:431][468]LogRenderer:Warning: Reallocating scene render targets to support 992x600.
[2014.08.25-17.28.12:741][558]LogEditorViewport: Clicking Background
[2014.08.25-17.32.58:094][460]LogRenderer:Warning: Reallocating scene render targets to support 992x624.
[2014.08.25-17.33.13:836][151]Cmd: QUIT_EDITOR
[2014.08.25-17.33.13:908][151]LogExit: Preparing to exit.
[2014.08.25-17.33.14:548][151]LogExit: Editor shut down
[2014.08.25-17.33.14:549][151]LogExit: Transaction tracking system shut down
[2014.08.25-17.33.14:550][151]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0x8eb5380
[2014.08.25-17.33.14:574][151]LogExit: Object subsystem successfully closed.
[2014.08.25-17.33.14:654][151]LogModuleManager: Shutting down and abandoning module NewLevelDialog (146)
[2014.08.25-17.33.14:654][151]LogModuleManager: Shutting down and abandoning module HTTP (145)
[2014.08.25-17.33.14:656][151]LogModuleManager: Shutting down and abandoning module CrashTracker (144)
[2014.08.25-17.33.14:656][151]LogModuleManager: Shutting down and abandoning module SuperSearch (143)
[2014.08.25-17.33.14:656][151]LogModuleManager: Shutting down and abandoning module SceneOutliner (142)
[2014.08.25-17.33.14:657][151]LogModuleManager: Shutting down and abandoning module EditorWidgets (141)
[2014.08.25-17.33.14:657][151]LogModuleManager: Shutting down and abandoning module CollectionManager (140)
[2014.08.25-17.33.14:657][151]LogModuleManager: Shutting down and abandoning module StatsViewer (139)
[2014.08.25-17.33.14:657][151]LogModuleManager: Shutting down and abandoning module FoliageEdit (138)
[2014.08.25-17.33.14:657][151]LogModuleManager: Shutting down and abandoning module LandscapeEditor (137)
[2014.08.25-17.33.14:658][151]LogModuleManager: Shutting down and abandoning module MeshPaint (136)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module ActorPickerMode (135)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module GeometryMode (134)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module TextureAlignMode (133)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module BspMode (132)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module PlacementMode (131)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module AutomationWorker (130)
[2014.08.25-17.33.14:659][151]LogModuleManager: Shutting down and abandoning module EditorLiveStreaming (129)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module BehaviorTreeEditor (128)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module DeviceProfileEditor (127)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module UndoHistory (126)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module GameplayTagsEditor (125)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module UserFeedback (124)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module XmlParser (123)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module Blutility (122)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module ProjectTargetPlatformEditor (117)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module ProjectSettingsViewer (116)
[2014.08.25-17.33.14:660][151]LogModuleManager: Shutting down and abandoning module InputBindingEditor (115)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module EditorSettingsViewer (114)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module SettingsEditor (113)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module SessionLauncher (112)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module SessionFrontend (111)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module ProfilerClient (110)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module TargetDeviceServices (109)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module DeviceManager (108)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module AutomationController (107)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module AutomationWindow (106)
[2014.08.25-17.33.14:661][151]LogModuleManager: Shutting down and abandoning module Layers (105)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module ComponentVisualizers (104)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module DetailCustomizations (103)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module PackagesDialog (102)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module Persona (101)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module GraphEditor (100)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module ClassViewer (99)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module Toolbox (98)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module ModuleUI (97)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module Sequencer (96)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module MovieSceneTools (95)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module OutputLog (94)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module GammaUI (93)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module Documentation (92)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module GameLiveStreaming (91)
[2014.08.25-17.33.14:662][151]LogModuleManager: Shutting down and abandoning module DesktopPlatform (90)
[2014.08.25-17.33.14:663][151]LogModuleManager: Shutting down and abandoning module StreamingPauseRendering (89)
[2014.08.25-17.33.14:663][151]LogModuleManager: Shutting down and abandoning module AnalyticsET (88)
[2014.08.25-17.33.14:663][151]LogModuleManager: Shutting down and abandoning module Analytics (87)
[2014.08.25-17.33.14:663][151]LogModuleManager: Shutting down and abandoning module GameplayDebugger (86)
[2014.08.25-17.33.14:663][151]LogModuleManager: Shutting down and abandoning module AIModule (85)
[2014.08.25-17.33.14:663][151]LogModuleManager: Shutting down and abandoning module ProfilerService (84)
[2014.08.25-17.33.14:828][151]LogModuleManager: Shutting down and abandoning module TaskGraph (83)
[2014.08.25-17.33.14:828][151]LogModuleManager: Shutting down and abandoning module BlankPlugin (82)
[2014.08.25-17.33.14:828][151]LogModuleManager: Shutting down and abandoning module UObjectPlugin (81)
[2014.08.25-17.33.14:828][151]LogModuleManager: Shutting down and abandoning module SubversionSourceControl (80)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module SourceControl (79)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module PerforceSourceControl (78)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module CableComponent (77)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module CustomMeshComponent (76)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module SlateRemote (75)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module ViewportSnapping (74)
[2014.08.25-17.33.14:829][151]LogModuleManager: Shutting down and abandoning module SmartSnapping (73)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module PaperTiledImporter (72)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module PaperJsonImporter (71)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module GameProjectGeneration (70)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module Matinee (69)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module Kismet (68)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module SlateReflector (67)
[2014.08.25-17.33.14:830][151]LogModuleManager: Shutting down and abandoning module LevelEditor (66)
[2014.08.25-17.33.14:832][151]LogModuleManager: Shutting down and abandoning module IntroTutorials (65)
[2014.08.25-17.33.14:833][151]LogModuleManager: Shutting down and abandoning module ContentBrowser (64)
[2014.08.25-17.33.14:833][151]LogModuleManager: Shutting down and abandoning module PropertyEditor (63)
[2014.08.25-17.33.14:833][151]LogModuleManager: Shutting down and abandoning module AssetTools (62)
[2014.08.25-17.33.14:834][151]LogModuleManager: Shutting down and abandoning module Paper2DEditor (61)
[2014.08.25-17.33.14:834][151]LogModuleManager: Shutting down and abandoning module MessagingDebugger (60)
[2014.08.25-17.33.14:834][151]LogModuleManager: Shutting down and abandoning module MainFrame (59)
[2014.08.25-17.33.14:835][151]LogModuleManager: Shutting down and abandoning module EpicSurvey (58)
[2014.08.25-17.33.14:835][151]LogModuleManager: Shutting down and abandoning module PluginsEditor (57)
[2014.08.25-17.33.14:835][151]LogModuleManager: Shutting down and abandoning module SpeedTreeImporter (56)
[2014.08.25-17.33.14:835][151]LogModuleManager: Shutting down and abandoning module DirectoryWatcher (55)
[2014.08.25-17.33.14:844][151]LogModuleManager: Shutting down and abandoning module AssetRegistry (54)
[2014.08.25-17.33.14:950][151]LogModuleManager: Shutting down and abandoning module ProjectSky (53)
[2014.08.25-17.33.14:951][151]LogModuleManager: Shutting down and abandoning module QtCreatorSourceCodeAccess (52)
[2014.08.25-17.33.14:951][151]LogModuleManager: Shutting down and abandoning module Paper2D (51)
[2014.08.25-17.33.14:951][151]LogModuleManager: Shutting down and abandoning module UdpMessaging (50)
[2014.08.25-17.33.15:051][151]LogModuleManager: Shutting down and abandoning module ImageWrapper (49)
[2014.08.25-17.33.15:051][151]LogModuleManager: Shutting down and abandoning module OnlineBlueprintSupport (48)
[2014.08.25-17.33.15:052][151]LogModuleManager: Shutting down and abandoning module FunctionalTesting (47)
[2014.08.25-17.33.15:052][151]LogModuleManager: Shutting down and abandoning module CollisionAnalyzer (46)
[2014.08.25-17.33.15:052][151]LogModuleManager: Shutting down and abandoning module WorkspaceMenuStructure (45)
[2014.08.25-17.33.15:052][151]LogModuleManager: Shutting down and abandoning module MessageLog (44)
[2014.08.25-17.33.15:052][151]LogModuleManager: Shutting down and abandoning module UMGEditor (43)
[2014.08.25-17.33.15:053][151]LogModuleManager: Shutting down and abandoning module UMG (42)
[2014.08.25-17.33.15:053][151]LogModuleManager: Shutting down and abandoning module Slate (41)
[2014.08.25-17.33.15:053][151]LogModuleManager: Shutting down and abandoning module EditorStyle (40)
[2014.08.25-17.33.15:056][151]LogModuleManager: Shutting down and abandoning module SessionServices (39)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module Messaging (38)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module SourceCodeAccess (37)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module HeadMountedDisplay (36)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module ALAudio (34)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module Networking (32)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module Core (31)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module KismetCompiler (30)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module PhysXFormats (29)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module MeshUtilities (28)
[2014.08.25-17.33.15:057][151]LogModuleManager: Shutting down and abandoning module DerivedDataCache (27)
[2014.08.25-17.33.15:063][151]LogDerivedDataCache: Shutdown
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module ShaderFormatOpenGL (26)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module TextureFormatPVR (25)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module TextureFormatUncompressed (24)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module TextureFormatDXT (23)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module AudioFormatOpus (22)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module AudioFormatOgg (21)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module LinuxServerTargetPlatform (20)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module LinuxTargetPlatform (19)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module LinuxNoEditorTargetPlatform (18)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module TargetPlatform (17)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module InputCore (16)
[2014.08.25-17.33.15:063][151]LogModuleManager: Shutting down and abandoning module Settings (15)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module ExampleDeviceProfileSelector (12)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module TextureCompressor (11)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module ShaderCore (10)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module OpenGLDrv (9)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module SlateRHIRenderer (8)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module Renderer (7)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module Engine (6)
[2014.08.25-17.33.15:064][151]LogModuleManager: Shutting down and abandoning module CoreUObject (5)
[2014.08.25-17.33.15:064][1
